Dataset,Scene Id ,Nav. algorithm,Robot,Pedestrian Collisions,Environment Collisions,Timeouts,Min. Distance Exceeded,Path Lenght,Time 2 Goal,Minimum distance to person,Avg. Speed,Path Irregularity

seq_eth,0,unaware,turtlebot2,0,0,0,0,11.824511175875687,24.432999999999993,0.914851129755249,0.48395658232209265,6.0964060422904165
seq_eth,0,rvo,turtlebot2,0,0,0,0,13.445205317330396,31.399,0.552547106171116,0.42820488924266364,3.204930805063692
seq_eth,0,sacadrl,turtlebot2,2,0,0,0,8.735269088509032,50.88499999999999,0.3808182555774033,0.1716668780290662,3.3801601060916275
seq_eth,1,unaware,turtlebot2,4,0,0,0,11.835545126699406,24.432999999999993,0.37077505025112073,0.4844081826504895,6.0717888812883345
seq_eth,1,rvo,turtlebot2,1,0,0,0,15.035778691761681,41.697,0.430453430553979,0.36059617458718085,2.372949073636748
seq_eth,1,sacadrl,turtlebot2,1,0,0,0,9.778240276417769,54.923,0.4440420478233194,0.17803543645499642,3.7795400329062705
seq_eth,2,unaware,turtlebot2,1,0,0,0,10.078906500710495,20.798000000000002,0.34152084174010594,0.48460940959277304,0.2482352532345731
seq_eth,2,rvo,turtlebot2,1,0,0,0,10.059084279826385,25.644000000000005,0.4347117281166975,0.3922587848941812,3.019682761213038
seq_eth,2,sacadrl,turtlebot2,2,0,0,0,12.247175571554173,64.61500000000001,0.3414140700953853,0.18954075015947028,2.279258058008779
seq_eth,3,unaware,turtlebot2,0,0,0,0,12.036381819422658,24.83699999999999,1.3537072599040063,0.48461496233130663,0.27390758760282724
seq_eth,3,rvo,turtlebot2,0,0,0,0,12.011278220002005,24.83699999999999,1.3042539124928396,0.4836042283690466,0.23637796563408925
seq_eth,3,sacadrl,turtlebot2,2,0,0,0,12.146867700250144,54.620000000000005,0.3818210002577182,0.22238864335866246,2.6673195808166907
seq_eth,4,unaware,turtlebot2,1,0,0,0,11.848029080169278,24.432999999999993,0.36270888161540493,0.4849191290537094,6.046187170329653
seq_eth,4,rvo,turtlebot2,3,0,0,0,14.673332257504445,38.16399999999999,0.3905170153063616,0.38448098358412247,4.335182680617459
seq_eth,4,sacadrl,turtlebot2,2,0,0,0,9.129519260049696,46.644000000000005,0.32071932813993803,0.19572762327522714,2.872448904208048
seq_eth,5,unaware,turtlebot2,1,0,0,0,9.84092554869123,20.394000000000005,0.4246197759367394,0.48254023480882746,6.037296587172817
seq_eth,5,rvo,turtlebot2,2,0,0,0,11.142004869984326,28.572000000000003,0.41832635760856207,0.38996237120202737,4.0707881048887895
seq_eth,5,sacadrl,turtlebot2,2,0,0,0,9.254545857132348,44.221000000000004,0.41292634647849685,0.20927943414061978,3.217143700236772
seq_eth,6,unaware,turtlebot2,1,0,0,0,11.804976860822885,24.331999999999994,0.44811543788869856,0.4851626196294134,6.098103314116982
seq_eth,6,rvo,turtlebot2,1,0,0,0,11.918892332947328,25.644000000000005,0.39298228338964736,0.46478288617014996,6.046968016773456
seq_eth,6,sacadrl,turtlebot2,2,0,0,0,20.787094102352334,85.918,0.4278610008046157,0.24194108454983046,3.7783644816750956
seq_eth,7,unaware,turtlebot2,0,0,0,0,11.848027587939166,24.432999999999993,0.637471141832052,0.48491906797933815,6.0719728652718645
seq_eth,7,rvo,turtlebot2,0,0,0,0,12.39121520533744,27.46199999999999,0.7132703954911247,0.4512131383488983,5.973117661491876
seq_eth,7,sacadrl,turtlebot2,1,0,0,0,17.09141437775503,80.36500000000001,0.37118457274225286,0.2126723620699935,3.3866750456092114
seq_eth,8,unaware,turtlebot2,1,0,0,0,12.26024335196873,25.038999999999987,0.4271261888068209,0.489645886495816,0.22355428016438308
seq_eth,8,rvo,turtlebot2,0,0,0,0,14.99501627664184,35.639999999999986,0.5714657354807819,0.42073558576436154,0.5077717600335777
seq_eth,8,sacadrl,turtlebot2,7,0,0,0,12.937490162721092,73.197,0.4187736720804576,0.17674891269752985,3.4307514412540203
seq_eth,9,unaware,turtlebot2,3,0,0,0,10.301046704790503,21.201999999999998,0.40758091371047434,0.48585259432084255,0.24557899107219125
seq_eth,9,rvo,turtlebot2,3,0,0,0,10.627170152886498,24.331999999999994,0.4091876409884819,0.43675695186941066,5.426052439597974
seq_eth,9,sacadrl,turtlebot2,3,0,0,0,11.931088530252564,81.779,0.42499397350588564,0.1458942825206051,3.025362957767937
seq_hotel,0,unaware,turtlebot2,1,0,0,0,16.846144637240098,33.822,0.3963800367737119,0.4980824503944207,6.242592663857411
seq_hotel,0,unaware,turtlebot2,1,0,0,0,16.846144637240098,33.822,0.3963800367737119,0.4980824503944207,6.242592663857411
seq_hotel,0,sacadrl,turtlebot2,0,0,0,0,7.052108528833303,33.822,4.462061151560884,0.2085065498442819,3.8887811736968665
seq_hotel,1,unaware,turtlebot2,7,0,0,0,12.832037503160786,25.745000000000005,0.41431171187338744,0.4984283357219182,6.227852343478409
seq_hotel,1,rvo,turtlebot2,4,0,0,0,14.558365846820623,37.55799999999999,0.404095969999589,0.3876235648016568,1.2226617602009962
seq_hotel,1,sacadrl,turtlebot2,4,0,0,0,17.2875691712652,94.601,0.4185327291212303,0.18274192842850712,2.694924381350289
seq_hotel,2,unaware,turtlebot2,0,0,0,0,2.485133584899351,5.048000000000002,2.852928781036796,0.49230063092300913,6.150908607463442
seq_hotel,2,rvo,turtlebot2,0,0,0,0,2.5350865387924872,5.149000000000001,2.821231810345731,0.492345414409106,6.153173645207942
seq_hotel,2,sacadrl,turtlebot2,0,0,0,0,1.1917938995457424,5.149000000000001,3.7228304824659424,0.23146123510307676,3.3760364598736525
seq_hotel,3,unaware,turtlebot2,2,0,0,0,8.650148099937814,17.36500000000001,0.2783239444297099,0.4981369478800927,6.227620097491288
seq_hotel,3,unaware,turtlebot2,2,0,0,0,8.650148099937814,17.36500000000001,0.2783239444297099,0.4981369478800927,6.227620097491288
seq_hotel,3,sacadrl,turtlebot2,1,0,0,0,3.495404049056292,17.36500000000001,0.27833306270421365,0.20129018422437606,2.598789692873716
seq_hotel,4,unaware,turtlebot2,0,0,0,0,9.201487070261132,18.476,0.7169623514040394,0.49802376435706497,6.1879417500298235
seq_hotel,4,unaware,turtlebot2,0,0,0,0,9.201487070261132,18.476,0.7169623514040394,0.49802376435706497,6.1879417500298235
seq_hotel,4,sacadrl,turtlebot2,1,0,0,0,2.710835583357553,18.576999999999998,0.4385177117034102,0.1459242925853234,4.278999802211508
seq_hotel,5,unaware,turtlebot2,0,0,0,0,9.650845041214206,19.38499999999999,0.5653105854841053,0.49785117571391335,6.222693236610473
seq_hotel,5,unaware,turtlebot2,0,0,0,0,9.650845041214206,19.38499999999999,0.5653105854841053,0.49785117571391335,6.222693236610473
seq_hotel,5,sacadrl,turtlebot2,2,0,0,0,3.8184275701612225,19.38499999999999,0.41352512956507465,0.19697846634827054,3.614980031252987
seq_hotel,6,unaware,turtlebot2,2,0,0,0,7.852482891946989,15.951999999999998,0.41492250853170026,0.49225695160149135,6.212229135385474
seq_hotel,6,rvo,turtlebot2,1,0,0,0,9.969156158879693,38.06299999999999,0.4481672197278433,0.2619119921939862,4.588399415301645
seq_hotel,6,sacadrl,turtlebot2,1,0,0,0,10.321027199735143,58.456999999999994,0.4482077721173132,0.17655759275595984,3.7620155018759807
seq_hotel,7,unaware,turtlebot2,1,0,0,0,10.081183492010743,20.293000000000006,0.40037653949182167,0.49678132814323855,0.1296082392819987
seq_hotel,7,rvo,turtlebot2,2,0,0,0,9.993323377802355,49.875,0.42900657864574737,0.20036738602109985,1.7775401061465173
seq_hotel,7,rvo,turtlebot2,2,0,0,0,9.993323377802355,49.875,0.42900657864574737,0.20036738602109985,1.7775401061465173
seq_hotel,8,unaware,turtlebot2,4,0,0,0,13.03816172568046,26.149,0.4084156374105921,0.4986103378974515,0.12168086750465035
seq_hotel,8,rvo,turtlebot2,5,0,0,0,13.962763046263166,39.173,0.4116592694563071,0.35643844092265503,2.6141267447186176
seq_hotel,8,sacadrl,turtlebot2,4,0,0,0,8.952034662690918,60.375,0.3582024026879615,0.14827386604871087,3.726600010907224
seq_hotel,9,unaware,turtlebot2,11,0,0,0,14.90607652318422,29.88499999999999,0.3988129111891592,0.49878121208580306,6.198016117811267
seq_hotel,9,rvo,turtlebot2,6,0,0,0,17.754144913058806,58.86099999999999,0.4130069770338103,0.30162832627816055,2.3779203886625875
seq_hotel,9,sacadrl,turtlebot2,2,0,0,0,12.29159857456754,85.71600000000001,0.4474605450135977,0.14339911538764688,4.596326225571408
seq_hotel,10,unaware,turtlebot2,1,0,0,0,7.4846173457238745,15.043000000000006,0.3517173788163745,0.4975481849181594,6.22535067203983
seq_hotel,10,unaware,turtlebot2,1,0,0,0,7.4846173457238745,15.043000000000006,0.3517173788163745,0.4975481849181594,6.22535067203983
seq_hotel,10,sacadrl,turtlebot2,1,0,0,0,3.7304375614934417,15.043000000000006,0.43540756377469153,0.2479849472507771,3.5941203647209385
seq_hotel,11,unaware,turtlebot2,2,0,0,0,9.909035738530672,19.889999999999986,0.3817152932724091,0.49819184205785216,0.12065352017145986
seq_hotel,11,rvo,turtlebot2,1,0,0,0,9.347652734782372,27.158999999999992,0.4047312431349395,0.344182508000382,4.2860354231175295
seq_hotel,11,rvo,turtlebot2,1,0,0,0,9.347652734782372,27.158999999999992,0.4047312431349395,0.344182508000382,4.2860354231175295
seq_hotel,12,unaware,turtlebot2,1,0,0,0,10.092441363567252,20.293000000000006,0.3585505652047847,0.49733609439546883,6.184766609407116
seq_hotel,12,rvo,turtlebot2,0,0,0,0,11.021953027327573,26.351,0.5480495438850485,0.4182745636722543,5.933393631613798
seq_hotel,12,sacadrl,turtlebot2,3,0,0,0,8.165840690805355,63.80799999999999,0.3776688581103669,0.12797518635289237,3.9294926665304715
seq_hotel,13,unaware,turtlebot2,1,0,0,0,11.020498634995919,22.11099999999999,0.44331335042074815,0.4984170157385882,0.1269694220998438
seq_hotel,13,unaware,turtlebot2,1,0,0,0,11.020498634995919,22.11099999999999,0.44331335042074815,0.4984170157385882,0.1269694220998438
seq_hotel,13,sacadrl,turtlebot2,0,0,0,0,4.007947212141139,22.11099999999999,1.0047660682001656,0.18126485514635887,2.8775840857052777
seq_hotel,14,unaware,turtlebot2,4,0,0,0,11.927110715038607,23.927999999999997,0.38133938147770025,0.49845832142421465,6.1650105653536595
seq_hotel,14,rvo,turtlebot2,1,0,0,0,10.053955005055451,25.745000000000005,0.4303205951435115,0.3905206838242552,4.367852555001446
seq_hotel,14,rvo,turtlebot2,1,0,0,0,10.053955005055451,25.745000000000005,0.4303205951435115,0.3905206838242552,4.367852555001446
